eth_type,ip_proto,src_port,dst_port
2048,6,22,41410
2048,6,41410,22
2048,1,0,0
2048,17,57426,1236
2048,17,48549,1234
2048,17,48550,1235
2048,17,57427,1237
2048,6,57310,8080
2048,6,8080,57310
2048,17,53173,1234
2048,17,48656,1236
2048,17,53174,1235
2048,17,48657,1237
2048,6,57310,8080
2048,6,8080,57310
2048,6,44770,22
2048,6,22,44770
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,57310,8080
2048,6,8080,57310
2048,6,44770,22
2048,6,22,44770
2048,6,57310,8080
2048,6,8080,57310
2048,1,0,0
2048,6,42448,8080
2048,6,8080,42448
2048,6,22,41410
2048,6,41410,22
2048,17,51613,1234
2048,17,54943,1236
2048,6,44770,22
2048,6,22,44770
2048,17,54944,1237
2048,17,51614,1235
2048,17,60901,53
2048,17,53,60901
2048,6,49258,443
2048,1,0,0
2048,6,443,49258
2048,17,59527,53
2048,17,53,59527
2048,6,45670,80
2048,6,80,45670
2048,17,38493,53
2048,17,53,38493
2048,6,49824,80
2048,6,80,49824
2048,17,44344,53
2048,17,53,44344
2048,17,47265,53
2048,17,51150,53
2048,17,51729,53
2048,17,53,47265
2048,17,53,51150
2048,17,53,51729
2048,17,35073,53
2048,17,53,35073
2048,6,49830,80
2048,6,35658,443
2048,6,80,49830
2048,6,49840,80
2048,6,80,49840
2048,6,443,35658
2048,17,34511,53
2048,17,53,34511
2048,6,45672,80
2048,6,80,45672
2048,17,39697,53
2048,17,38565,53
2048,17,36119,53
2048,17,53,36119
2048,17,53,39697
2048,6,52536,443
2048,6,41796,443
2048,6,443,41796
2048,6,443,52536
2048,17,56592,53
2048,17,53,56592
2048,6,59124,80
2048,6,80,59124
2048,17,53,38565
2048,6,48508,443
2048,17,38405,53
2048,17,53,38405
2048,6,54038,80
2048,17,51275,53
2048,17,37185,53
2048,17,53,51275
2048,17,53,37185
2048,6,80,54038
2048,6,57756,443
2048,6,443,57756
2048,17,55019,53
2048,17,53,55019
2048,6,47650,443
2048,6,443,47650
2048,6,443,48508
2048,17,53022,53
2048,17,53,53022
2048,17,56834,53
2048,17,33375,53
2048,17,53,56834
2048,17,53,33375
2048,6,57768,443
2048,6,443,57768
2048,17,39223,53
2048,17,36379,53
2048,17,34800,53
2048,17,53,39223
2048,17,53,34800
2048,17,53,36379
2048,6,57772,443
2048,6,443,57772
2048,17,54874,53
2048,17,50512,53
2048,17,53,50512
2048,17,53,54874
2048,6,57786,443
2048,6,443,57786
2048,17,50967,53
2048,17,55989,53
2048,17,53,50967
2048,17,53,55989
2048,6,57794,443
2048,6,443,57794
2048,17,34926,53
2048,17,42273,53
2048,17,53,34926
2048,17,53,42273
2048,6,57798,443
2048,6,443,57798
2048,17,49528,53
2048,17,38319,53
2048,17,53,49528
2048,17,53,38319
2048,6,58206,443
2048,6,51890,443
2048,6,51898,443
2048,6,443,58206
2048,17,59839,53
