eth_type,ip_proto,src_port,dst_port,Category
2048,6,22,41410,SSH
2048,6,41410,22,SSH
2048,1,0,0,ICMP
2048,17,57426,1236,STREAMING
2048,17,48549,1234,STREAMING
2048,17,48550,1235,STREAMING
2048,17,57427,1237,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,17,53173,1234,STREAMING
2048,17,48656,1236,STREAMING
2048,17,53174,1235,STREAMING
2048,17,48657,1237,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,44770,22,SSH
2048,6,22,44770,SSH
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,6,44770,22,SSH
2048,6,22,44770,SSH
2048,6,57310,8080,STREAMING
2048,6,8080,57310,STREAMING
2048,1,0,0,ICMP
2048,6,42448,8080,STREAMING
2048,6,8080,42448,STREAMING
2048,6,22,41410,SSH
2048,6,41410,22,SSH
2048,17,51613,1234,STREAMING
2048,17,54943,1236,STREAMING
2048,6,44770,22,SSH
2048,6,22,44770,SSH
2048,17,54944,1237,STREAMING
2048,17,51614,1235,STREAMING
2048,17,60901,53,DNS
2048,17,53,60901,DNS
2048,6,49258,443,HTTP
2048,1,0,0,ICMP
2048,6,443,49258,HTTP
2048,17,59527,53,DNS
2048,17,53,59527,DNS
2048,6,45670,80,HTTP
2048,6,80,45670,HTTP
2048,17,38493,53,DNS
2048,17,53,38493,DNS
2048,6,49824,80,HTTP
2048,6,80,49824,HTTP
2048,17,44344,53,DNS
2048,17,53,44344,DNS
2048,17,47265,53,DNS
2048,17,51150,53,DNS
2048,17,51729,53,DNS
2048,17,53,47265,DNS
2048,17,53,51150,DNS
2048,17,53,51729,DNS
2048,17,35073,53,DNS
2048,17,53,35073,DNS
2048,6,49830,80,HTTP
2048,6,35658,443,HTTP
2048,6,80,49830,HTTP
2048,6,49840,80,HTTP
2048,6,80,49840,HTTP
2048,6,443,35658,HTTP
2048,17,34511,53,DNS
2048,17,53,34511,DNS
2048,6,45672,80,HTTP
2048,6,80,45672,HTTP
2048,17,39697,53,DNS
2048,17,38565,53,DNS
2048,17,36119,53,DNS
2048,17,53,36119,DNS
2048,17,53,39697,DNS
2048,6,52536,443,HTTP
2048,6,41796,443,HTTP
2048,6,443,41796,HTTP
