number,value,state,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_best_iterations,user_attrs_fold_macro_f1_scores,user_attrs_mean_macro_f1,user_attrs_median_best_iteration,user_attrs_std_macro_f1
0,0.8775039493385922,COMPLETE,0.7468055921327309,1.5599452033620265,0.2133249073808361,6.011150117432088,4,12.057126287443763,3.3323645788192616e-08,21.42302175774107,0.8394633936788146,"[185, 379, 365, 247, 152]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,247.0,0.0036577781476934716
1,0.8775039493385922,COMPLETE,0.7637017332034828,1.8182496720710062,0.010685033500506827,5.247564316322379,6,27.08160864249967,4.4734294104626844e-07,0.033205591037519584,0.9329770563201687,"[1197, 1184, 1198, 1197, 1198]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,1197.0,0.0036577781476934716
2,0.8775039493385922,COMPLETE,0.7876433945605654,3.663618432936917,0.025534118336997567,1.9967378215835974,5,8.012737503998538,0.00012724181576752517,8.431013932082463,0.6557975442608167,"[824, 853, 731, 688, 784]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,784.0,0.0036577781476934716
3,0.8775039493385922,COMPLETE,0.7511572371061874,0.6505159298527952,0.06732246784032987,8.08397348116461,5,1.1711509955524093,3.4671276804481113,67.32248920775338,0.8430179407605753,"[715, 866, 1087, 1108, 511]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,866.0,0.0036577781476934716
4,0.8775039493385922,COMPLETE,0.7366114704534336,4.951769101112702,0.013694297420943902,2.587799816000169,4,10.249322216924156,2.039373116525212e-08,35.20481045526039,0.7760609974958405,"[1198, 1199, 1198, 1198, 1199]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,1198.0,0.0036577781476934716
5,0.8775039493385922,COMPLETE,0.7554563366576581,9.695846277645586,0.027274285634631724,8.948273504276488,6,5.864129169696525,0.0946663015372686,49.830438374949104,0.8186841117373118,"[712, 479, 640, 531, 629]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,629.0,0.0036577781476934716
6,0.8836557051545044,COMPLETE,0.7135681866731614,3.2533033076326436,0.19441280937044064,8.287375091519294,6,1.3511829476450818,3.148441347423712e-05,0.022737628102536857,0.678393144967658,"[186, 319, 180, 202, 147]","[0.8853191122520309, 0.894011664844041, 0.8789137473867953, 0.8805107794325551, 0.8795232218570997]",0.8836557051545044,186.0,0.006314011477144563
7,0.8775039493385922,COMPLETE,0.9406590942262119,0.7455064367977082,0.024701856298561878,1.987156815341724,4,6.333268775321839,7.6204817861585425,7.264803074826729,0.6563696899899051,"[1185, 1008, 1193, 1199, 784]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,1185.0,0.0036577781476934716
8,0.8871848106100263,COMPLETE,0.9313811040057837,0.7404465173409036,0.13802766984197365,8.631034258755935,2,11.06914321939345,1.683416412018213e-05,0.0037961668958008117,0.8916028672163949,"[556, 863, 640, 795, 771]","[0.8868259662744605, 0.8827155174586941, 0.8792485638642626, 0.8950222700171595, 0.8921117354355543]",0.8871848106100263,771.0,0.006495916431386367
9,0.8775039493385922,COMPLETE,0.7975549966080241,7.29606178338064,0.02901186098027491,4.722149251619493,6,1.241318963529422,0.005470376807480385,27.29378165037476,0.7243929286862648,"[717, 527, 626, 432, 771]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,626.0,0.0036577781476934716
10,0.8806141910896332,COMPLETE,0.803826416666922,1.3835733281131617,0.19751357697651503,9.591099837962357,3,6.2846657065782265,1.3056153159961768e-06,0.0010331758189448988,0.8791927077054374,"[237, 377, 366, 386, 272]","[0.8730277788453417, 0.894011664844041, 0.8792485638642626, 0.8805107794325551, 0.8762721684619663]",0.8806141910896332,366.0,0.008027682510056183
11,0.8795596504828664,COMPLETE,0.757406315720904,4.264988203148142,0.16226005274100827,8.153275773405596,4,1.601370809983991,0.00039499416742855883,0.01709155462166983,0.6633465370033093,"[320, 373, 180, 197, 153]","[0.8770939213475024, 0.880544824839795, 0.876753129643763, 0.8838831547261725, 0.8795232218570997]",0.8795596504828664,197.0,0.0028991793618848285
12,0.8899990851409199,COMPLETE,0.9430309850966564,0.2247952256852508,0.11856634558579494,5.488394964142254,2,12.177012248581876,0.0013447993839301,0.0015279890761626563,0.8240649324823222,"[1061, 965, 1086, 795, 769]","[0.8924743470865273, 0.8884999025308529, 0.8836146868059622, 0.8989245638314235, 0.8864819254498327]",0.8899990851409199,965.0,0.0059407405776626876
13,0.8827439803348016,COMPLETE,0.9831622776837321,0.42856974240321266,0.2133120793527433,7.394260701115395,2,20.906178526796307,0.09910564750947903,0.003310935751831204,0.7635043040387103,"[813, 385, 599, 600, 510]","[0.8787071351000846, 0.8819206139945602, 0.8789137473867953, 0.8933252166412976, 0.8808531885512698]",0.8827439803348016,599.0,0.006065937507052674
14,0.8845452076994395,COMPLETE,0.9436033532665673,0.8651315804328285,0.03943278338171404,7.599209023379795,3,7.97518369902763,0.00047681105514203753,0.024422889997618755,0.9316309007615585,"[1197, 1156, 730, 1199, 1154]","[0.8735110675574739, 0.894011664844041, 0.876753129643763, 0.887770107873307, 0.8906800685786127]",0.8845452076994395,1156.0,0.008945935377408717
